parent_ticker, parent_cik10, accession           , exhibit_label, exhibit_year, subsidiary_name_raw                                                                                      , jurisdiction_raw                               , ownership_raw                                , footnote_marker, source_path                                             , parse_confidence
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Arabian Jasmine Ltd.                                                                                     ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Noni (SINGAPORE) PTE. LTD.                                                                               ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS-Beefinance Holding Limited                                                                          ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, LinkCrypto Finance Technology Limited                                                                    ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Qinson Ltd.                                                                                              ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, LQE Ltd.                                                                                                 ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Technology (Philippines) Corp                                                                       ,                                                , Philippines                                  ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, MSCT Investment Holdings Limited                                                                         ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, MNYC HOLDINGS (HK) LIMITED                                                                               ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "Haikou Huaqin Minshang Software Development Co., Ltd"                                                   ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
