parent_ticker,parent_cik10,accession,exhibit_label,exhibit_year,subsidiary_name_raw,jurisdiction_raw,ownership_raw,footnote_marker,source_path,parse_confidence
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,"Shanghai Yucan Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,​,​,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-19-023251,EX-8.1,2019,HongKong Walnut Street Limited,Hong Kong,,,companies\PDD\exhibits\0001104659-19-023251\EX-8.1.htm,
PDD,0001737806,0001104659-19-023251,EX-8.1,2019,"Hangzhou Weimi Network Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-19-023251\EX-8.1.htm,
PDD,0001737806,0001104659-19-023251,EX-8.1,2019,"Walnut Street (Shanghai) Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-19-023251\EX-8.1.htm,
PDD,0001737806,0001104659-19-023251,EX-8.1,2019,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-19-023251\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,Hong Kong NetEase Interactive Entertainment Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,"Guangzhou Boguan Telecommunication Technology Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,"NetEase (Hangzhou) Network Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,Variable Interest Entities:,Jurisdiction of Incorporation,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,"Guangzhou NetEase Computer System Co., Ltd.",People’s Republic of China,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,​,​,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-21-055902,EX-8.1,2021,"Hangzhou NetEase Leihuo Technology Co., Ltd. (previously namedHangzhou NetEase Leihuo Network Co., Ltd.)",People’s Republic of China,,,companies\NTES\exhibits\0001104659-21-055902\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,NetEase Interactive Entertainment Limited,British Virgin Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase Media, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"HQG, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"Youdao, Inc.",Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEase E-commerce, Inc. (previously named Yanxuan, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,"NetEse Yanxuan, Inc. (previously named Miaode.com, Inc.)",Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,Cloud Village Inc.,Cayman Islands,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
NTES,0001110646,0001104659-19-023833,EX-8.1,2019,NetEase (Hong Kong) Limited,Hong Kong,,,companies\NTES\exhibits\0001104659-19-023833\EX-8.1.htm,
