ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
LICN,Lichen China Ltd,3,2023-02,16.0,Finance,Univest Securities,
TCTM,TCTM Kids IT Education Inc.,3,2014-04,138.0,Consumer Services,"Credit Suisse, Goldman Sachs",
CNET,ZW Data Action Technologies,3,2010-09,,Technology,n/a,
IFBD,Infobird,3,2021-04,25.0,Technology,WestPark Capital,
BQ,Boqii Holding,3,2020-09,70.0,Consumer Services,"Roth Capital, CMB International Capital, Valuable Capital",
EZGO,EZGO Technologies,3,2021-01,11.0,Transportation,ViewTrade Securities,
UOKA,MDJM LTD,3,2019-01,6.0,Finance,Network 1 Financial Securities,
TC,TuanChe Limited,3,2018-11,20.0,Business Services,"AMTD Global Markets, Maxim Group",
SXTC,"China SXT Pharmaceuticals, Inc.",2,2019-01,10.0,Health Care,"Boustead Securities, LLC",
UPC,"Universe
Pharmaceuticals",2,2021-03,25.0,Health Care,Univest Securities,
KXIN,Kaixin Auto Holdings,2,2017-10,180.0,Consumer Durables,Early Bird Capital,
UK,Ucommune International,2,2020-12,,Real Estate,Went public through a business combination with SPAC Orisun,
XTKG,X3 Holdings Co Ltd,1,2019-04,9.0,Technology,"Benchmark, Maxim",
